KECAMATAN_NAME,ESTIMATED_CATS,HIGH_RISK_SPOTS,STERILIZATION_RATE,ACTIVE_PROGRAMS,LATITUDE,LONGITUDE
Gubeng,1256,1,35.75,3,-7.275614,112.750832
Sukolilo,1714,0,39.19,1,-7.289212,112.793726
Tambaksari,2528,1,35.95,1,-7.258941,112.764321
Wonokromo,1752,1,50.16,1,-7.297842,112.734981
Rungkut,2518,0,41.61,3,-7.318452,112.784512
Mulyorejo,1453,2,55.94,3,-7.267431,112.803124
Genteng,1436,0,41.46,3,-7.259842,112.742312
Tegalsari,1179,2,46.4,3,-7.270984,112.731245
Sawahan,1883,0,59.21,4,-7.281342,112.720984
Kenjeran,2350,2,37.36,3,-7.223874,112.768923
