DATE,KECAMATAN_NAME,TOTAL_POPULATION,STERILIZED,RESCUED
2025-01-01,Gubeng,1260,454,87
2025-01-01,Sukolilo,1720,673,34
2025-01-01,Tambaksari,2533,910,21
2025-01-01,Wonokromo,1769,883,13
2025-01-01,Rungkut,2534,1048,41
2025-01-01,Mulyorejo,1463,813,48
2025-01-01,Genteng,1441,600,23
2025-01-01,Tegalsari,1185,552,39
2025-01-01,Sawahan,1898,1120,20
2025-01-01,Kenjeran,2355,878,62
2025-01-02,Gubeng,1264,456,85
2025-01-02,Sukolilo,1723,677,37
2025-01-02,Tambaksari,2541,915,22
2025-01-02,Wonokromo,1775,888,14
2025-01-02,Rungkut,2536,1049,40
2025-01-02,Mulyorejo,1474,817,48
2025-01-02,Genteng,1453,603,25
2025-01-02,Tegalsari,1189,553,38
2025-01-02,Sawahan,1906,1120,24
2025-01-02,Kenjeran,2355,878,61
2025-01-03,Gubeng,1273,462,88
2025-01-03,Sukolilo,1730,677,38
2025-01-03,Tambaksari,2551,918,24
2025-01-03,Wonokromo,1778,892,18
2025-01-03,Rungkut,2562,1054,43
2025-01-03,Mulyorejo,1473,821,52
2025-01-03,Genteng,1456,608,25
2025-01-03,Tegalsari,1189,556,37
2025-01-03,Sawahan,1913,1125,27
2025-01-03,Kenjeran,2361,882,65
2025-01-04,Gubeng,1275,462,92
2025-01-04,Sukolilo,1742,683,41
2025-01-04,Tambaksari,2565,919,23
2025-01-04,Wonokromo,1783,893,20
2025-01-04,Rungkut,2589,1058,41
2025-01-04,Mulyorejo,1481,824,50
2025-01-04,Genteng,1457,610,29
2025-01-04,Tegalsari,1199,557,35
2025-01-04,Sawahan,1915,1129,25
2025-01-04,Kenjeran,2362,885,69
2025-01-05,Gubeng,1275,468,94
2025-01-05,Sukolilo,1757,684,44
2025-01-05,Tambaksari,2578,923,22
2025-01-05,Wonokromo,1786,899,22
2025-01-05,Rungkut,2600,1059,43
2025-01-05,Mulyorejo,1492,829,49
2025-01-05,Genteng,1468,613,32
2025-01-05,Tegalsari,1207,560,37
2025-01-05,Sawahan,1922,1130,24
2025-01-05,Kenjeran,2362,885,71
2025-01-06,Gubeng,1283,472,93
2025-01-06,Sukolilo,1756,689,47
2025-01-06,Tambaksari,2578,923,20
2025-01-06,Wonokromo,1802,899,24
2025-01-06,Rungkut,2605,1064,44
2025-01-06,Mulyorejo,1493,830,52
2025-01-06,Genteng,1483,617,34
2025-01-06,Tegalsari,1212,566,38
2025-01-06,Sawahan,1937,1131,22
2025-01-06,Kenjeran,2363,888,71
2025-01-07,Gubeng,1289,475,97
2025-01-07,Sukolilo,1770,694,50
2025-01-07,Tambaksari,2607,923,18
2025-01-07,Wonokromo,1808,901,28
2025-01-07,Rungkut,2630,1065,43
2025-01-07,Mulyorejo,1494,833,51
2025-01-07,Genteng,1489,619,35
2025-01-07,Tegalsari,1214,566,39
2025-01-07,Sawahan,1952,1137,24
2025-01-07,Kenjeran,2364,893,73
2025-01-08,Gubeng,1301,475,101
2025-01-08,Sukolilo,1787,695,51
2025-01-08,Tambaksari,2621,924,22
2025-01-08,Wonokromo,1814,901,27
2025-01-08,Rungkut,2640,1068,43
2025-01-08,Mulyorejo,1508,839,52
2025-01-08,Genteng,1493,624,38
2025-01-08,Tegalsari,1227,570,42
2025-01-08,Sawahan,1965,1138,23
2025-01-08,Kenjeran,2371,893,75
2025-01-09,Gubeng,1312,475,104
2025-01-09,Sukolilo,1792,695,53
2025-01-09,Tambaksari,2635,930,24
2025-01-09,Wonokromo,1815,905,25
2025-01-09,Rungkut,2665,1068,45
2025-01-09,Mulyorejo,1507,845,51
2025-01-09,Genteng,1499,628,37
2025-01-09,Tegalsari,1234,570,44
2025-01-09,Sawahan,1963,1143,25
2025-01-09,Kenjeran,2386,895,75
2025-01-10,Gubeng,1314,480,104
2025-01-10,Sukolilo,1796,698,52
2025-01-10,Tambaksari,2655,932,25
2025-01-10,Wonokromo,1819,911,23
2025-01-10,Rungkut,2663,1072,47
2025-01-10,Mulyorejo,1522,845,53
2025-01-10,Genteng,1501,630,36
2025-01-10,Tegalsari,1246,570,43
2025-01-10,Sawahan,1968,1144,26
2025-01-10,Kenjeran,2408,900,75
2025-01-11,Gubeng,1323,486,107
2025-01-11,Sukolilo,1806,703,56
2025-01-11,Tambaksari,2671,937,23
2025-01-11,Wonokromo,1837,912,23
2025-01-11,Rungkut,2665,1072,50
2025-01-11,Mulyorejo,1529,847,53
2025-01-11,Genteng,1511,635,36
2025-01-11,Tegalsari,1248,575,47
2025-01-11,Sawahan,1971,1147,26
2025-01-11,Kenjeran,2433,906,73
2025-01-12,Gubeng,1324,489,111
2025-01-12,Sukolilo,1811,703,56
2025-01-12,Tambaksari,2694,942,23
2025-01-12,Wonokromo,1838,915,25
2025-01-12,Rungkut,2685,1076,48
2025-01-12,Mulyorejo,1528,852,52
2025-01-12,Genteng,1520,641,36
2025-01-12,Tegalsari,1255,576,48
2025-01-12,Sawahan,1970,1149,26
2025-01-12,Kenjeran,2458,912,77
2025-01-13,Gubeng,1324,491,110
2025-01-13,Sukolilo,1825,708,54
2025-01-13,Tambaksari,2704,946,27
2025-01-13,Wonokromo,1844,919,28
2025-01-13,Rungkut,2688,1077,52
2025-01-13,Mulyorejo,1528,858,56
2025-01-13,Genteng,1522,644,34
2025-01-13,Tegalsari,1256,578,52
2025-01-13,Sawahan,1988,1155,29
2025-01-13,Kenjeran,2482,918,76
2025-01-14,Gubeng,1327,497,113
2025-01-14,Sukolilo,1826,714,52
2025-01-14,Tambaksari,2731,947,26
2025-01-14,Wonokromo,1860,922,28
